10\-1\0\-1,10\-1\0\-1,7\-1\0\-1,7\-1\0\-1,8\-1\0\-1,10\209\0\-1,10\-1\0\-1,10\-1\0\-1,10\-1\0\-1,10\-1\0\-1,10\-1\0\-1,10\-1\0\-1,10\-1\0\-1,10\-1\0\-1,9\58\2\3,9\-1\0\-1,10\-1\0\-1,10\-1\0\-1,10\-1\0\-1,10\-1\0\-1,9\-1\0\-1,10\-1\0\-1,8\-1\0\-1,7\-1\0\-1,6\-1\0\-1,6\-1\0\-1,3\-1\0\-1,5\205\0\-1
10\-1\0\-1,7\-1\0\-1,6\-1\0\-1,6\-1\0\-1,8\-1\0\-1,10\209\0\-1,10\-1\0\-1,10\-1\0\-1,10\-1\0\-1,10\-1\0\-1,8\-1\0\-1,7\-1\0\-1,7\-1\0\-1,7\-1\0\-1,7\58\2\-1,7\-1\0\-1,10\-1\0\-1,7\-1\0\-1,8\-1\0\-1,8\-1\0\-1,8\-1\0\-1,9\-1\0\-1,10\-1\0\-1,8\-1\0\-1,7\-1\0\-1,6\-1\0\-1,6\-1\0\-1,4\-1\0\-1
11\-1\0\-1,6\209\0\-1,6\209\0\-1,6\209\0\-1,6\-1\0\-1,8\209\0\-1,10\209\0\-1,10\209\0\-1,10\-1\0\-1,8\-1\0\-1,6\-1\0\-1,6\-1\0\-1,6\-1\0\-1,6\-1\0\-1,5\58\2\-1,5\-1\0\-1,5\205\0\-1,5\206\0\-1,7\-1\0\-1,8\-1\0\-1,8\-1\0\-1,8\-1\0\-1,10\-1\0\-1,10\-1\0\-1,8\-1\0\-1,7\-1\0\-1,6\-1\0\-1,6\-1\0\-1
8\-1\0\-1,7\209\0\-1,6\-1\0\-1,6\209\0\-1,7\-1\0\-1,11\209\0\-1,10\-1\0\-1,10\209\0\-1,8\-1\0\-1,6\-1\0\-1,6\339\0\-1,2\-1\0\-1,2\-1\0\-1,2\-1\0\-1,2\4\2\-1,2\-1\0\-1,2\-1\0\-1,2\-1\0\-1,6\-1\0\-1,7\-1\0\-1,7\-1\0\-1,8\-1\0\-1,10\-1\0\-1,10\-1\0\-1,10\-1\0\-1,8\-1\0\-1,7\-1\0\-1,7\-1\0\-1
10\-1\0\-1,8\209\0\-1,8\-1\0\-1,11\209\0\-1,8\-1\0\-1,10\209\0\-1,8\209\0\-1,7\209\0\-1,5\-1\0\-1,6\207\0\-1,2\-1\0\-1,2\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\4\2\-1,0\-1\0\-1,52\-1\0\-1,2\-1\0\-1,5\-1\0\-1,5\-1\0\-1,6\-1\0\-1,8\-1\0\-1,8\-1\0\-1,10\-1\0\-1,10\-1\0\-1,10\-1\0\-1,8\-1\0\-1,8\-1\0\-1
10\-1\0\-1,10\-1\0\-1,8\-1\0\-1,10\-1\0\-1,10\-1\0\-1,8\-1\0\-1,7\-1\0\-1,6\-1\0\-1,5\204\0\-1,2\3\4\-1,51\3\4\-1,0\4\2\-1,0\-1\0\-1,0\-1\0\-1,0\3\2\-1,0\3\3\-1,0\4\3\-1,2\-1\0\-1,2\264\0\-1,2\291\0\-1,5\-1\0\-1,6\-1\0\-1,7\-1\0\-1,10\-1\0\-1,10\-1\0\-1,10\-1\0\-1,10\-1\0\-1,10\-1\0\-1
10\-1\0\-1,10\-1\0\-1,10\-1\0\-1,10\-1\0\-1,10\-1\0\-1,8\-1\0\-1,7\-1\0\-1,5\208\0\-1,2\-1\0\-1,52\4\1\-1,0\336\0\-1,0\4\2\-1,0\-1\0\-1,0\-1\0\-1,0\4\2\-1,0\-1\0\-1,0\4\1\-1,0\-1\0\-1,51\-1\0\-1,2\-1\0\-1,2\193\0\-1,5\-1\0\-1,6\-1\0\-1,7\-1\0\-1,10\-1\0\-1,10\-1\0\-1,10\-1\0\-1,10\-1\0\-1
10\-1\0\-1,10\-1\0\-1,10\-1\0\-1,10\-1\0\-1,8\-1\0\-1,7\-1\0\-1,7\-1\0\-1,6\-1\0\-1,0\-1\0\-1,0\4\1\-1,51\-1\0\-1,0\4\2\-1,0\-1\0\-1,0\-1\0\-1,0\4\2\-1,0\-1\0\-1,0\4\1\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,2\-1\0\-1,2\-1\0\-1,5\-1\0\-1,5\-1\0\-1,7\-1\0\-1,10\-1\0\-1,10\-1\0\-1,10\-1\0\-1
10\57\4\1,10\57\4\-1,10\57\4\-1,8\57\4\-1,7\57\4\-1,6\57\4\-1,5\3\4\-1,2\3\4\-1,0\3\4\-1,0\4\1\-1,50\302\0\-1,0\4\2\-1,0\-1\0\-1,0\339\0\-1,0\-1\0\0,0\-1\0\-1,0\4\1\-1,0\-1\0\-1,0\4\2\-1,0\3\3\-1,0\3\3\-1,0\57\3\-1,52\57\3\-1,5\57\3\-1,5\57\3\-1,8\57\3\-1,10\57\3\-1,10\57\3\2
10\-1\0\-1,10\-1\0\-1,10\-1\0\-1,8\-1\0\-1,7\-1\0\-1,5\212\0\-1,2\-1\0\-1,52\-1\0\-1,0\-1\0\-1,3\-1\1\-1,0\-1\0\-1,0\4\2\-1,0\-1\0\-1,0\285\0\-1,-1\4\1\-1,2\-1\0\-1,0\4\1\-1,0\-1\0\-1,0\4\2\-1,0\337\0\-1,0\-1\0\-1,51\-1\0\-1,2\-1\0\-1,5\-1\0\-1,6\-1\0\-1,8\-1\0\-1,10\-1\0\-1,10\-1\0\-1
